A[32] B[32] Cin[1] V[1] C[32]
-1526584328 1048374357 1 0 -478209970
1084952200 -1370839456 0 0 -285887256
1861188791 1335677963 1 1 -1098100541
-1901795004 1828402651 0 0 -73392353
-350611783 1436034052 0 0 1085422269
1069996998 -1490215597 0 0 -420218599
1672446194 1851545285 0 1 -770975817
-711844143 -444696583 0 0 -1156540726
-1203620415 -1751101909 0 1 1340244972
-909669212 -1967445919 0 1 1417852165
-1993340968 -1048832622 1 1 1252793707
-1629839792 2116570560 1 0 486730769
-1538862256 1129732671 1 0 -409129584
77795909 924805632 1 0 1002601542
-92807355 -539945426 1 0 -632752780
-831483303 1609775396 0 0 778292093
602471184 735426391 0 0 1337897575
-839843359 -825342372 0 0 -1665185731
154996303 1726230922 0 0 1881227225
997390629 951569387 0 0 1948960016
292830793 1861521300 0 1 -2140615203
854066642 -1915347334 1 0 -1061280691
104416664 573249593 0 0 677666257
2023336189 133794972 0 1 -2137836135
2022005900 -584345521 1 0 1437660380
1410223534 -1239175021 0 0 171048513
-604673266 -198900731 0 0 -803573997
-888457138 -435322576 1 0 -1323779713
735889075 1772185814 0 1 -1786892407
-734950124 -319704883 1 0 -1054655006
-558383133 -740253176 1 0 -1298636308
-1397431036 955807610 0 0 -441623426
-840968705 801110572 0 0 -39858133
426869070 1318579413 0 0 1745448483
437573429 -1178108809 1 0 -740535379
593896549 437342315 0 0 1031238864
878420404 -1653185798 0 0 -774765394
-1018072902 1333936200 0 0 315863298
-382214762 669578816 0 0 287364054
-456984024 1298965144 0 0 841981120
619353637 -904721216 1 0 -285367578
-513093942 -908784574 0 0 -1421878516
1719289185 -111099424 1 0 1608189762
-880067946 -2079162678 1 1 1335736673
-1400450518 -450352877 1 0 -1850803394
129442302 482498421 0 0 611940723
-1692977964 856158754 1 0 -836819209
-572956105 -838811492 0 0 -1411767597
805507693 -1587734970 1 0 -782227276
1471846765 -2070641424 0 0 -598794659
-560197748 -1946497987 1 1 1788271562
2122842100 -1308068629 1 0 814773472
-1636198207 -254279194 1 0 -1890477400
-508174987 1817334483 0 0 1309159496
-396587756 -1482802819 0 0 -1879390575
1849388119 -921549400 1 0 927838720
-955580703 2109428083 1 0 1153847381
-70832326 1671804014 1 0 1600971689
1973431758 -235447191 0 0 1737984567
-1733678827 1744202412 1 0 10523586
-51901079 1790494275 1 0 1738593197
-1908330991 -294968029 0 1 2091668276
-1351267989 -109252495 1 0 -1460520483
-964606257 -1473869889 0 1 1856491150
1993022368 1575854958 0 1 -726089970
-213131991 -1521144228 0 0 -1734276219
-1960719647 -2137275362 0 1 196972287
-1583104036 1803568019 0 0 220463983
2068168139 -1209637740 0 0 858530399
2058796742 61153545 1 0 2119950288
-1352599946 -1854328292 1 1 1088039059
1704336756 597907655 1 1 -1992722884
55860783 -183436162 1 0 -127575378
1068566150 -1442060485 0 0 -373494335
-1673782078 -619688657 1 1 2001496562
639987481 -73986390 1 0 566001092
-841920723 299066690 1 0 -542854032
1026481438 115910604 1 0 1142392043
1348944075 1821134008 1 1 -1124889212
481723286 2014557059 0 1 -1798686951
-799532355 2126114100 1 0 1326581746
2144861109 -451908564 0 0 1692952545
111893878 1094409382 1 0 1206303261
1920510342 1940075349 0 1 -434381605
1926718373 -604203561 0 0 1322514812
-2012004442 -1365984149 1 1 916978706
79834970 131632526 0 0 211467496
-2057017502 -132693562 0 1 2105256232
1168172993 532725993 0 0 1700898986
1992079942 -369741759 1 0 1622338184
-1684033873 -1818760449 1 1 792172975
749680909 1638366903 1 1 -1906919483
-269650807 1518622481 1 0 1248971675
-755446143 693324859 0 0 -62121284
1762023684 -1363723770 1 0 398299915
525332878 1711319752 1 1 -2058314665
792716391 933531367 1 0 1726247759
-79667130 977698731 0 0 898031601
-372626010 1057524658 1 0 684898649
-529427525 882704852 0 0 353277327
-290971276 -1776060865 1 0 -2067032140
-1966473174 -1854305347 0 1 474188775
-845775433 -1109224255 1 0 -1954999687
246360488 234245345 1 0 480605834
887918966 -1516562195 0 0 -628643229
1935332601 -1517066473 0 0 418266128
-1672291274 -561567025 1 1 2061108998
834418593 197260130 1 0 1031678724
-1460347084 1457661205 1 0 -2685878
1850403169 -1642126698 0 0 208276471
-1183332702 1104777112 0 0 -78555590
675439713 1383788636 1 0 2059228350
184182963 -1003934344 1 0 -819751380
694145944 302292971 1 0 996438916
1098158793 -1022501462 0 0 75657331
303404368 -334935924 0 0 -31531556
-58866199 1686387047 1 0 1627520849
1388410074 -1077764704 1 0 310645371
2060873081 -625760519 1 0 1435112563
-849121859 299599034 1 0 -549522824
-430381938 -1795361456 0 1 2069223902
-1285713221 -744842405 0 0 -2030555626
-406793313 1297414004 0 0 890620691
-926462326 121597960 1 0 -804864365
-417798941 -584492379 1 0 -1002291319
2017217724 -1750753532 0 0 266464192
1502367877 1412549706 1 1 -1380049712
-2040256129 1381667163 0 0 -658588966
-1818498313 55895360 1 0 -1762602952
-14795372 1258126650 0 0 1243331278
2046625826 56024588 0 0 2102650414
1068055938 656243606 0 0 1724299544
-223870380 374504354 0 0 150633974
-976333161 1458969975 1 0 482636815
-321631777 -1736414147 0 0 -2058045924
-858745557 -790309380 1 0 -1649054936
658277934 1838294521 1 1 -1798394840
1700941319 151409745 0 0 1852351064
-1557219538 1494781504 1 0 -62438033
1627440903 664073658 1 1 -2003452734
552011895 -1333982399 1 0 -781970503
-425001618 -15645705 1 0 -440647322
-219279107 -1058915527 0 0 -1278194634
-188945117 -686876600 0 0 -875821717
1883838600 -1969692158 1 0 -85853557
381192313 1674406215 1 0 2055598529
953401440 -268259286 0 0 685142154
-1746541139 661674935 0 0 -1084866204
1512729947 1798800105 1 1 -983437243
1348669103 856315346 0 1 -2089982847
1059329197 1939023737 1 1 -1296614361
1273233981 -1190878307 0 0 82355674
-1443462876 539998758 0 0 -903464118
-208246268 1510051419 1 0 1301805152
1216026760 -1546685666 0 0 -330658906
-1740508562 2048974862 1 0 308466301
382404107 -1973220616 1 0 -1590816508
-1716985516 -521485034 1 1 2056496747
1238988827 -1867469174 0 0 -628480347
1929656968 -2020430758 1 0 -90773789
2136122274 -1511216324 1 0 624905951
1058655866 257875166 0 0 1316531032
-312173947 2006896652 1 0 1694722706
-468415101 -2026578468 1 1 1799973728
2146115782 796116256 1 1 -1352735257
608875488 -670355351 0 0 -61479863
1298166556 -381342407 0 0 916824149
-1347173465 -303683448 0 0 -1650856913
-93897988 788089800 1 0 694191813
1550168974 1643366418 0 1 -1101431904
701381234 -1729913993 1 0 -1028532758
1983933618 -32321602 1 0 1951612017
1741696373 -1045107264 1 0 696589110
-761018730 1957183233 0 0 1196164503
-1446975403 912367423 1 0 -534607979
-1294079608 -2082359683 0 1 918528005
181727227 -1732181868 0 0 -1550454641
-1291860315 1519084910 1 0 227224596
-329709763 -310925083 0 0 -640634846
-255550375 -1788066016 0 0 -2043616391
-91214205 -28255773 0 0 -119469978
1556884727 1969759385 0 1 -768323184
-952778137 842268925 1 0 -110509211
110124061 -787819412 0 0 -677695351
-1213166117 2117540668 0 0 904374551
314581783 1339549576 1 0 1654131360
-270284973 2043762434 1 0 1773477462
-791335817 750495866 0 0 -40839951
-1360110794 191425651 1 0 -1168685142
-1489929115 86619577 1 0 -1403309537
-490340678 215658845 1 0 -274681832
-2117423280 2136460720 0 0 19037440
31539014 -247024214 0 0 -215485200
-1962833106 -1165232095 0 1 1166902095
-14996674 658602444 1 0 643605771
-1828661223 1543431533 0 0 -285229690
1808349153 1768671294 0 1 -717946849
356078074 -1593591206 0 0 -1237513132
213162911 1611371219 0 0 1824534130
-1260752173 -977840295 1 1 2056374829
-2106195253 -1204258268 0 1 984513775
-1276361862 637329006 1 0 -639032855
-1677143979 -1378400025 0 1 1239423292
1307822603 -1554851105 0 0 -247028502
-206293898 347533713 1 0 141239816
582646968 2098455487 1 1 -1613864840
1424089704 1800829515 1 1 -1070048076
1990875692 -1513561796 1 0 477313897
1854482639 150350232 0 0 2004832871
406305014 -2010518814 1 0 -1604213799
-992336052 669337896 1 0 -322998155
-1770159408 1764979516 0 0 -5179892
2022165566 1286453936 1 1 -986347793
1498056746 929430275 0 1 -1867480275
231747097 -342404345 1 0 -110657247
-878296964 1465839206 1 0 587542243
-1722128819 -869498664 1 1 1703339814
-1350919944 -621324703 1 0 -1972244646
-1357355218 525991135 1 0 -831364082
-2118745218 419947019 0 0 -1698798199
1990551065 -799233451 1 0 1191317615
140642687 800988468 0 0 941631155
-314933136 717419565 1 0 402486430
1183437139 1942870826 0 1 -1168659331
1693418137 542612168 0 1 -2058936991
788396114 -813850964 1 0 -25454849
-446481906 -1730289957 1 1 2118195434
-1762296003 1935651213 1 0 173355211
439174647 -372314822 1 0 66859826
-146894516 -1193763283 0 0 -1340657799
-1758057064 -2112714711 1 1 424195522
848767883 223738539 1 0 1072506423
1492945729 -1616366969 0 0 -123421240
-550981378 1725318947 1 0 1174337570
-686384724 -865356542 1 0 -1551741265
294429664 1903645756 1 1 -2096891875
143509179 1147147932 0 0 1290657111
1202811380 896209696 0 0 2099021076
-1473063469 510049634 0 0 -963013835
1266488476 -2024322489 1 0 -757834012
917987374 1599987881 0 1 -1776992041
-425825982 -288882276 1 0 -714708257
-726639926 -636783600 1 0 -1363423525
-219430811 1185136592 0 0 965705781
-789703305 -102742626 1 0 -892445930
-376909789 674549332 1 0 297639544
-442034231 -1172673930 1 0 -1614708160
-1797447228 -41619748 1 0 -1839066975
-1487036617 -1728825962 1 1 1079104718
-1301398350 -2003621978 0 1 989946968
1715701656 1966127124 0 1 -613138516
-2115759144 1519020110 1 0 -596739033
-1577357667 576285571 0 0 -1001072096
-622327004 1458614875 1 0 836287872
-2053585525 1258249814 0 0 -795335711
340333119 1491819572 0 0 1832152691
-983675064 -708408649 0 0 -1692083713
934938250 854047776 0 0 1788986026
-349314303 -1896767354 0 1 2048885639
1241200114 -1877957343 1 0 -636757228
2099261886 994094928 1 1 -1201610481
-2004266110 2131305160 1 0 127039051
-763072387 -1797786100 1 1 1734108810
-1609682029 -1212616281 1 1 1472668987
-709082414 1689849344 1 0 980766931
-1163443454 647883939 0 0 -515559515
-872555431 1751016404 1 0 878460974
-11019528 -1953983937 0 0 -1965003465
1167484921 -2037318146 0 0 -869833225
325567617 -1139942442 1 0 -814374824
44075802 1703725083 1 0 1747800886
